"gs","gene"
"dc","ALDH1A2"
"dc","CD209"
"dc","ALOX15"
"dc","HLA-DQA1"
"dc","FPR3"
"tfh","B3GAT1"
"tfh","CDK5R1"
"tfh","PDCD1"
"tfh","BCL6"
"tfh","CD200"
"tfh","CD83"
"tfh","CD84"
"tfh","FGF2"
"tfh","GPR18"
"tfh","CEBPA"
"tfh","ADA2"
"tfh","CLEC10A"
"tfh","CLEC4A"
"tfh","CSF1R"
"tfh","CTSS"
"tfh","SYNM"
"tfh","DPP4"
"tfh","LRRC32"
"tfh","MC5R"
"tfh","MICA"
"tfh","NCAM1"
"tfh","NCR2"
"tfh","NRP1"
"tfh","PDCD1LG2"
"tfh","PDCD6"
"tfh","PRDX1"
"tfh","RAE1"
"tfh","RAET1E"
"tfh","SIGLEC7"
"tfh","SIGLEC9"
"tfh","TYRO3"
"tfh","CHST12"
"tfh","CLIC3"
"tfh","IVNS1ABP"
"tfh","KIR2DL2"
"tfh","LGMN"
"th1","CD70"
"th1","TBX21"
"th1","ADAM8"
"th1","AHCYL2"
"th1","ALCAM"
"th1","B3GALNT1"
"th1","BBS12"
"th1","BST1"
"th1","CD151"
"th1","CD47"
"th1","CD48"
"th1","CD52"
"th1","CD53"
"th1","CD59"
"th1","CD6"
"th1","CD68"
"th1","CD7"
"th1","CD96"
"th1","CFHR3"
"th1","CHRM3"
"th1","CLEC7A"
"th1","COL23A1"
"th1","COL4A4"
"th1","COL5A3"
"th1","DAB1"
"th1","DLEU7"
"th1","DOC2B"
"th1","EMP1"
"th1","F12"
"th1","FURIN"
"th1","GAB3"
"th1","GATM"
"th1","GFPT2"
"th1","GPR25"
"th1","GREM2"
"th1","HAVCR1"
"th1","HSD11B1"
"th1","HUNK"
"th1","IGF2"
"th1","RCSD1"
"th1","RYR1"
"th1","SAV1"
"th1","SELE"
"th1","SELP"
"th1","SH3KBP1"
"th1","SIT1"
"th1","SLC35B3"
"th1","SIGLEC10"
"th1","SKAP1"
"th1","THUMPD2"
"th1","TIGIT"
"th1","ZEB2"
"th1","ENC1"
"th1","RETREG1"
"th1","FBXO30"
"th1","FCGR2C"
"th1","STAC"
"th1","LTC4S"
"th1","MAN1B1"
"th1","MDH1"
"th1","MMD"
"th1","RGS16"
"th1","IL12A"
"th1","P2RX5"
"th1","ADGRE5"
"th1","ITGB4"
"th1","ICAM3"
"th1","METRNL"
"th1","TNFRSF1A"
"th1","IRF1"
"th1","HTR2B"
"th1","CALD1"
"th1","MOCOS"
"th1","TRAF3IP2"
"th1","TLR8"
"th1","TRAF1"
"th1","DUSP14"
"th2","ASB2"
"th2","CSRP2"
"th2","DAPK1"
"th2","DLC1"
"th2","DNAJC12"
"th2","DUSP6"
"th2","GNAI1"
"th2","LAMP3"
"th2","NRP2"
"th2","OSBPL1A"
"th2","PDE4B"
"th2","PHLDA1"
"th2","PLA2G4A"
"th2","RAB27B"
"th2","RBMS3"
"th2","RNF125"
"th2","TMPRSS3"
"th2","GATA3"
"th2","BIRC5"
"th2","CDC25C"
"th2","CDC7"
"th2","CENPF"
"th2","CXCR6"
"th2","DHFR"
"th2","EVI5"
"th2","GSTA4"
"th2","HELLS"
"th2","IL26"
"th2","LAIR2"
"treg","FOXP3"
"treg","LINC02694"
"treg","IL5"
"treg","CTLA4"
"treg","IL32"
"treg","GPR15"
"treg","IL4"
"cd8t","ADRM1"
"cd8t","AHSA1"
"cd8t","C1GALT1C1"
"cd8t","CCT6B"
"cd8t","CD37"
"cd8t","CD3D"
"cd8t","CD3E"
"cd8t","CD3G"
"cd8t","CD69"
"cd8t","CD8A"
"cd8t","CETN3"
"cd8t","CSE1L"
"cd8t","GEMIN6"
"cd8t","GNLY"
"cd8t","GPT2"
"cd8t","GZMA"
"cd8t","GZMH"
"cd8t","GZMK"
"cd8t","IL2RB"
"cd8t","LCK"
"cd8t","MPZL1"
"cd8t","NKG7"
"cd8t","PIK3IP1"
"cd8t","PTRH2"
"cd8t","TIMM13"
"cd8t","ZAP70"
"tcell.exhaustion","LAG3"
"tcell.exhaustion","CTLA4"
"tcell.exhaustion","CD274"
"tcell.exhaustion","CD160"
"tcell.exhaustion","BTLA"
"tcell.exhaustion","VSIR"
"tcell.exhaustion","LAIR1"
"tcell.exhaustion","HAVCR2"
"tcell.exhaustion","CD244"
"tcell.exhaustion","TIGIT"
"tcell.activation","ICOS"
"tcell.activation","CD28"
"tcell.activation","CD27"
